conf,end,start,word
0.654409,2.22,1.62,эппл
1.0,3.39,2.31,майкрософт
1.0,4.11,3.42,амазон
0.837208,5.22,4.5,фейсбук
0.445841,5.97,5.61,тест
0.979857,7.35,6.573455,нвидиа
1.0,8.22,7.65,виза
0.977237,9.149909,8.52,пэйпал
0.816499,10.74,9.84,мастеркард
0.998189,11.699341,11.13,валдис
0.552802,11.999689,11.7,ней
0.972082,12.84,12.27,адоб
0.931714,13.65,13.29,нет
0.628438,14.13,13.65,флекс
0.922832,14.97,14.34,интел
0.986877,16.169839,15.45,пфайзер
0.997675,16.77,16.44,кока
0.997194,17.24993,16.77,кола
1.0,18.23985,17.64,пепси
1.0,19.26,18.66,найк
1.0,20.16,19.56,адидас
0.838133,21.09,20.73,вол
0.850334,21.505375,21.090064,март
0.999695,22.92,22.05,макдональдс
0.50831,23.424679,23.34,к
0.854522,24.06,23.424679,валком
0.758201,25.439678,24.78,филлипс
0.989815,26.49,25.89,твиттер
0.999974,27.63,26.97,тойота
0.999229,28.709828,28.14,киа
0.661894,29.79,29.1,икеа
1.0,31.23,30.39,самсунг
0.42162,32.34,31.53,хуёвый
0.986026,33.539956,32.85,хюндай
0.859979,34.74,33.99,силами
0.667521,35.88,35.31,сони
0.911631,36.96,36.24,нестле
0.62835,38.52,37.5,бейб
0.775315,40.77,39.96,мицубиши
0.980621,44.58,44.1,проктор
1.0,44.73,44.580582,энд
0.998684,45.3,44.73,гэмбл
1.0,46.56,45.87,данон
0.687984,47.22,46.98,эл
0.687984,47.639883,47.22,джи
1.0,48.51,48.03,бургер
1.0,48.93,48.51,кинг
0.81837,49.949839,49.29,кейси
1.0,51.09,50.43,гугл
1.0,52.32,51.693618,вольво
1.0,53.79,53.13,лореаль
1.0,55.11,54.57,джонсон
0.999987,55.26,55.11,энд
1.0,55.8,55.26,джонсон
1.0,56.91,56.28,мазда
0.756139,58.048531,57.48,меркьюри
0.998704,58.59,58.05033,ритейл
0.876666,59.07,58.62,групп
0.83887,60.48,59.94,мэйл
1.0,61.35,60.96,раша
1.0,61.83,61.35,тудей
0.3365,62.837197,62.549626,вес
0.477239,63.36,62.837197,сэйлз
0.568559,64.32,63.57,дэннис
0.739889,65.487422,65.04,уайлдер
0.730187,65.789846,65.487422,рис
0.545551,66.75,66.24,кейси
0.960673,68.189897,67.53,асус
1.0,69.0,68.7,эйч
0.851378,69.24,69.0,пи
0.846838,70.68,70.32,сай
0.579435,71.7,71.1,леново
0.590185,72.78,72.21,дэл
1.0,73.86,73.38,онор
0.720437,74.91,74.4,декс
1.0,76.17,75.39,панасоник
0.934111,77.37,76.8,рейзер
0.854908,78.118821,78.0,в
0.917544,78.63,78.118821,риме
1.0,80.01,79.32,атлант
0.852674,81.03,80.43,бош
0.947357,82.14,81.6,калган
0.89754,83.141829,82.62,спэйс
0.512776,83.49,83.160366,икс
1.0,84.6,83.82,биткоин
0.556665,85.38,85.08,блю
0.818589,85.98,85.41093,ориджен
1.0,86.85,86.31,озон
0.715929,88.14,87.51,дэк
1.0,89.43,88.83,форбс
0.488578,90.241282,90.0,кен
0.886576,90.75,90.241282,цент
0.735567,91.68,91.17,али-баба
0.610025,92.04,91.68,групп
0.872565,93.09,92.67,аликс
0.968043,93.51,93.09,пресс
